,compound,concentration,replicate,TimePoint,siRNA,StateVar,data4modelReal
239,DMSO,0.2,R4,16,NRF2,Live_cells,1.024573087
240,DMSO,0.2,R4,16,NRF2,Total_cells,1.378651089
241,DMSO,0.2,R4,17,NRF2,Apop_cells,0.372612025
242,DMSO,0.2,R4,17,NRF2,Live_cells,1.057021538
243,DMSO,0.2,R4,17,NRF2,Total_cells,1.429633563
244,DMSO,0.2,R4,18,NRF2,Apop_cells,0.384757798
245,DMSO,0.2,R4,18,NRF2,Live_cells,1.087892229
246,DMSO,0.2,R4,18,NRF2,Total_cells,1.472650027
247,DMSO,0.2,R4,19,NRF2,Apop_cells,0.409404211
248,DMSO,0.2,R4,19,NRF2,Live_cells,1.096171997
249,DMSO,0.2,R4,19,NRF2,Total_cells,1.505576208
250,DMSO,0.2,R4,20,NRF2,Apop_cells,0.431644031
251,DMSO,0.2,R4,20,NRF2,Live_cells,1.114293303
252,DMSO,0.2,R4,20,NRF2,Total_cells,1.545937334
253,NIT,7.5,R1,0,NRF2,Apop_cells,NA
254,NIT,7.5,R1,0,NRF2,Live_cells,NA
255,NIT,7.5,R1,0,NRF2,Total_cells,1
256,NIT,7.5,R1,1,NRF2,Apop_cells,0.118905094
257,NIT,7.5,R1,1,NRF2,Live_cells,0.881094906
258,NIT,7.5,R1,1,NRF2,Total_cells,1
259,NIT,7.5,R1,2,NRF2,Apop_cells,0.11618908
260,NIT,7.5,R1,2,NRF2,Live_cells,0.88296058
261,NIT,7.5,R1,2,NRF2,Total_cells,0.99914966
262,NIT,7.5,R1,3,NRF2,Apop_cells,0.121318853
263,NIT,7.5,R1,3,NRF2,Live_cells,0.876130127
264,NIT,7.5,R1,3,NRF2,Total_cells,0.99744898
265,NIT,7.5,R1,4,NRF2,Apop_cells,0.134335352
266,NIT,7.5,R1,4,NRF2,Live_cells,0.862263288
267,NIT,7.5,R1,4,NRF2,Total_cells,0.996598639
268,NIT,7.5,R1,5,NRF2,Apop_cells,0.144811859
269,NIT,7.5,R1,5,NRF2,Live_cells,0.843283379
270,NIT,7.5,R1,5,NRF2,Total_cells,0.988095238
271,NIT,7.5,R1,6,NRF2,Apop_cells,0.172874681
272,NIT,7.5,R1,6,NRF2,Live_cells,0.843281782
273,NIT,7.5,R1,6,NRF2,Total_cells,1.016156463
274,NIT,7.5,R1,7,NRF2,Apop_cells,0.174906643
275,NIT,7.5,R1,7,NRF2,Live_cells,0.880365466
276,NIT,7.5,R1,7,NRF2,Total_cells,1.055272109
277,NIT,7.5,R1,8,NRF2,Apop_cells,0.191932511
278,NIT,7.5,R1,8,NRF2,Live_cells,0.884598101
279,NIT,7.5,R1,8,NRF2,Total_cells,1.076530612
280,NIT,7.5,R1,9,NRF2,Apop_cells,0.19165715
281,NIT,7.5,R1,9,NRF2,Live_cells,0.895077544
282,NIT,7.5,R1,9,NRF2,Total_cells,1.086734694
283,NIT,7.5,R1,10,NRF2,Apop_cells,0.233222066
284,NIT,7.5,R1,10,NRF2,Live_cells,0.889226914
285,NIT,7.5,R1,10,NRF2,Total_cells,1.12244898
286,NIT,7.5,R1,11,NRF2,Apop_cells,0.248410213
287,NIT,7.5,R1,11,NRF2,Live_cells,0.915705433
288,NIT,7.5,R1,11,NRF2,Total_cells,1.164115646
289,NIT,7.5,R1,12,NRF2,Apop_cells,0.251810815
